date,sub_category,actual_trend,prediction_trend
2022-02-17,outfit,138.42857142857142,138.72765
2022-02-18,outfit,140.85714285714286,137.55142
2022-02-19,outfit,141.1428571428571,137.52206
2022-02-20,outfit,142.57142857142858,138.17108
2022-02-21,outfit,142.0,139.38303
2022-02-22,outfit,143.42857142857142,140.54745
2022-02-23,outfit,140.28571428571428,141.79105
2022-02-24,outfit,141.0,142.16685
2022-02-25,outfit,140.14285714285714,142.22433
2022-02-26,outfit,137.57142857142858,141.92249
2022-02-27,outfit,139.14285714285714,140.9685
2022-02-28,outfit,138.42857142857142,140.23366
2022-03-01,outfit,138.85714285714286,139.58461
2022-03-02,outfit,138.57142857142858,139.20117
2022-03-03,outfit,136.85714285714286,138.96219
2022-03-04,outfit,137.42857142857142,138.49556
2022-03-05,outfit,140.85714285714286,138.15337
2022-03-06,outfit,140.42857142857142,138.64943
2022-03-07,outfit,142.28571428571428,139.33148
2022-03-08,outfit,142.0,140.34868
2022-03-09,outfit,143.99999999999997,141.23239
2022-03-10,outfit,147.42857142857142,142.27022
2022-03-11,outfit,146.0,143.84062
2022-03-12,outfit,146.28571428571428,144.97482
2022-03-13,outfit,143.85714285714286,145.69199
2022-03-14,outfit,141.42857142857142,145.49965
2022-03-15,outfit,138.14285714285714,144.38379
2022-03-16,outfit,139.28571428571428,142.36942
2022-03-17,outfit,134.71428571428572,140.60353
2022-03-18,outfit,134.71428571428572,138.3799
2022-03-19,outfit,133.57142857142858,136.4706
2022-03-20,outfit,137.28571428571428,134.92603
2022-03-21,outfit,135.42857142857142,134.70139
2022-03-22,outfit,136.0,134.79271
2022-03-23,outfit,134.85714285714286,135.22113
2022-03-24,outfit,136.14285714285714,135.53674
2022-03-25,outfit,132.85714285714286,136.0378
2022-03-26,outfit,131.57142857142858,135.86084
2022-03-27,outfit,129.28571428571428,135.16461
2022-03-28,outfit,128.71428571428572,133.90718
2022-03-29,outfit,130.71428571428572,132.53783
2022-03-30,outfit,130.0,131.8001
2022-03-31,outfit,130.42857142857142,131.35538
2022-04-01,outfit,131.71428571428572,131.23686
2022-04-02,outfit,130.57142857142858,131.55717
2022-04-03,outfit,131.28571428571428,131.77966
2022-04-04,outfit,133.42857142857142,132.05388
2022-04-05,outfit,133.28571428571428,132.71216
2022-04-06,outfit,136.0,133.35245
2022-04-07,outfit,136.71428571428572,134.38095
2022-04-08,outfit,138.57142857142858,135.47711
2022-04-09,outfit,143.57142857142858,136.7178
2022-04-10,outfit,143.57142857142858,138.74907
2022-04-11,outfit,144.14285714285714,140.65155
2022-04-12,outfit,143.28571428571428,142.15712
