date,forecast_1_year,sub_category
2023-06-01,92.54158825533732,outfit
2023-06-02,91.91633231299265,outfit
2023-06-03,91.9599313906261,outfit
2023-06-04,92.35068172216417,outfit
2023-06-05,92.92069789341518,outfit
2023-06-06,93.57596021039146,outfit
2023-06-07,94.25761033807483,outfit
2023-06-08,94.92631003686361,outfit
2023-06-09,95.55517194952284,outfit
2023-06-10,96.12602769477027,outfit
2023-06-11,96.62773612567358,outfit
2023-06-12,97.05310629095351,outfit
2023-06-13,97.40132380383356,outfit
2023-06-14,97.67534816265108,outfit
2023-06-15,97.88172384670803,outfit
2023-06-16,98.02852335997991,outfit
2023-06-17,98.12567046710424,outfit
2023-06-18,98.18358428137644,outfit
2023-06-19,98.2137879558972,outfit
2023-06-20,98.22684333154135,outfit
2023-06-21,98.23170866285052,outfit
2023-06-22,98.2369518024581,outfit
2023-06-23,98.25036819492068,outfit
2023-06-24,98.27727234363557,outfit
2023-06-25,98.32166901656561,outfit
2023-06-26,98.38605174848013,outfit
2023-06-27,98.47116356236594,outfit
2023-06-28,98.57780205351966,outfit
2023-06-29,98.70402780600958,outfit
2023-06-30,98.84815747397288,outfit
2023-07-01,99.00780246938979,outfit
2023-07-02,99.18000749179296,outfit
2023-07-03,99.3622454234532,outfit
2023-07-04,99.55156096390316,outfit
2023-07-05,99.74498621906554,outfit
2023-07-06,99.94044324329921,outfit
2023-07-07,100.13557703154429,outfit
2023-07-08,100.3282928466797,outfit
2023-07-09,100.51721378735134,outfit
2023-07-10,100.70111407552447,outfit
2023-07-11,100.8797082560403,outfit
2023-07-12,101.05170338494437,outfit
2023-07-13,101.21769975764411,outfit
2023-07-14,101.37784010171892,outfit
2023-07-15,101.53303955282485,outfit
2023-07-16,101.68373049157007,outfit
2023-07-17,101.83146193197796,outfit
2023-07-18,101.9764017888478,outfit
2023-07-19,102.11951137440546,outfit
2023-07-20,102.26163865838733,outfit
2023-07-21,102.40352666378023,outfit
2023-07-22,102.54580926895143,outfit
2023-07-23,102.68898182255882,outfit
2023-07-24,102.83344732012068,outfit
2023-07-25,102.979445040226,outfit
2023-07-26,103.12713030406408,outfit
2023-07-27,103.2765366945948,outfit
2023-07-28,103.42759704589845,outfit
2023-07-29,103.58018542187556,outfit
2023-07-30,103.73410872050695,outfit
2023-07-31,103.88913605894362,outfit
2023-08-01,104.04500716924669,outfit
2023-08-02,104.2014743770872,outfit
